SL_25_30_71,Radiation laboratory
SL_25_30_76,Scientific equipment room
SL_25_30_78,Seismograph room
SL_25_30_87,Temperature-controlled room
SL_25_30_88,Testing room
SL_25_40_03,Animal care training room
SL_25_40_11,Catering training kitchen
SL_25_40_15,Construction workshop
SL_25_40_22,Design technology studio
SL_25_40_23,Design technology workshop
SL_25_40_27,Engineering workshop
SL_25_40_36,Hair and beauty training salon
SL_25_40_38,Health and clinical training room
SL_25_40_40,Information and communication technology (ICT)-rich studio
SL_25_40_42,Independent life skill room
SL_25_40_50,Manufacturing workshop
SL_25_40_51,Media studio
SL_25_40_61,Outdoor training space
SL_25_40_65,Photography studio
SL_25_40_70,Rail training simulator
SL_25_40_90,Training restaurant
SL_25_40_94,Vehicle workshop
SL_25_50_15,Collection exhibition space
SL_25_50_16,Conservation room
SL_25_50_21,Diorama room
SL_25_50_26,External gallery
SL_25_50_29,Fauna exhibition space
SL_25_50_31,Flora exhibition space
SL_25_50_42,Internal gallery
SL_25_50_63,Planetarium
SL_25_50_94,Viewing space
SL_25_70_02,Archive
SL_25_70_04,Audiovisual archive
SL_25_70_05,Audiovisual study room
SL_25_70_13,Conference room
SL_25_70_47,Library room
SL_25_70_72,Reading room
SL_25_70_73,Record store
SL_25_75_04,Art and design resource space
SL_25_75_37,Heavy practical resource space
SL_25_75_40,Information and communication technology (ICT) resource space
SL_25_75_45,Learning resource centre
SL_25_75_47,Light practical resource space
SL_25_75_55,Music practice room
SL_25_75_76,School library
SL_25_75_80,Small group room
SL_25_75_82,Special educational need (SEN) resource space
SL_25_80_22,Design technology preparation room
SL_25_80_27,Engineering preparation room
SL_25_80_30,Food preparation room
SL_25_80_75,Science preparation room
SL_25_90_30,Faith space
SL_25_90_65,Prayer room
SL_25_90_78,Shrine
SL_30_10_57,Offshore oil and ga drilling space
SL_30_10_59,Onshore oil and ga drilling space
SL_30_10_69,Quarrying area
SL_30_10_85,Surface mine working
SL_30_10_91,Underground mine chamber
SL_30_10_93,Underground mineshaft
SL_30_10_94,Underground mine tunnel
SL_30_20_70,Radioactive decontamination space
SL_30_20_75,Radioactive waste package transfer space
SL_30_30_33,Ga processing space
SL_30_30_58,Oil processing space
SL_30_30_59,Ore processing space
SL_30_40_07,Bottling room
SL_30_40_10,Butter making room
SL_30_40_18,Cheesemaking room
SL_30_40_30,Fish processing room
SL_30_40_32,Fresh fruit and vegetable packing room
SL_30_40_44,Juicing room
SL_30_40_50,Meat processing room
SL_30_40_54,Milk processing room
SL_30_40_63,Plant fibre sorting room
SL_30_40_65,Poultry and game processing room
SL_30_40_75,Sawmill
SL_30_40_80,Silk production room
SL_30_40_82,Spinning room
SL_30_40_87,Tannery
SL_30_40_88,Threshing room
SL_30_40_90,Tobacco drying room
SL_30_40_96,Weaving room
SL_30_40_98,Wool sorting room
SL_30_50_27,Electronic clean room
SL_30_50_30,Heavy industrial space
SL_30_50_40,Kiln room
SL_30_50_43,Light industrial space
SL_30_50_50,Manufacturing workshop
SL_30_50_60,Packaging line
SL_30_50_61,Paint spray booth
SL_30_50_62,Pharmaceutical clean room
SL_30_50_64,Printing space
SL_30_60_03,Animal cage washing area
SL_30_60_11,Caretaker room
SL_30_60_13,Clothe drying and airing room
SL_30_60_22,Decontamination space
SL_30_60_24,Dry cleaning space
SL_30_60_42,Ironing room
SL_30_60_46,Laundrette
SL_30_60_47,Laundry
SL_30_60_50,Maintenance workshop
SL_30_60_75,Service laundry
SL_30_60_93,Vehicle-cleaning area
SL_30_60_94,Vehicle washe
SL_30_60_96,Wash-up space
SL_30_80_96,Watermill house
SL_30_80_97,Windmill house
SL_30_85_08,Boat repair space
SL_30_85_20,Dock face
SL_30_85_22,Dock sill
SL_30_85_24,Dry dock chamber
SL_30_85_30,Floating dock
SL_30_90_33,Good delivery bay
SL_30_90_48,Loading dock
SL_30_90_80,Sorting and distribution space
SL_30_90_84,Storage yard
SL_30_90_96,Warehouse space
SL_32_10_03,Arable field
SL_32_10_26,Farmyard
SL_32_10_28,Fishery
SL_32_10_30,Fish farm tank
SL_32_10_34,Glasshouse space
SL_32_10_37,Hedge
SL_32_10_39,Hothouse space
SL_32_10_47,Livestock field
SL_32_10_52,Milking parlour
SL_32_10_55,Mushroom cultivation space
SL_32_10_60,Paddock
SL_32_10_65,Polytunnel space
SL_32_10_66,Poultry battery
SL_32_10_77,Shearing space
SL_32_10_78,Sheep dip
SL_32_10_94,Vineyard space
SL_32_15_17,Dam crest
SL_32_15_29,Dam face
SL_32_15_37,Dam heel
SL_32_15_81,Dam spillway crest
SL_32_15_82,Dam spillway funnel
SL_32_15_83,Dam spillway face
SL_32_15_89,Dam toe
SL_32_35_02,Access strip
SL_32_35_04,Allotment
SL_32_35_22,Decking area
SL_32_35_24,Driveway
SL_32_35_30,Flower bed
SL_32_35_46,Lawn
SL_32_35_60,Patio
SL_32_35_94,Vegetable garden
SL_32_40_06,Berm
SL_32_40_16,Contaminated land area
SL_32_40_26,Easement access area
SL_32_40_27,Embankment core
SL_32_40_28,Embankment crest
SL_32_40_29,Embankment face
SL_32_40_30,Embankment toe
SL_32_40_31,Embankment transition zone
SL_32_40_32,Fill zone
SL_32_40_37,High ground crest
SL_32_40_38,High ground face
SL_32_40_70,Rain gauge central well
SL_32_40_71,Rain gauge turf wall
SL_32_40_90,Tree protection zone
SL_32_50_03,Anchorage
SL_32_50_06,Beach ramp
SL_32_50_11,Canoe pass
SL_32_50_12,Canoe portage space
SL_32_50_18,Deep berth
SL_32_50_30,Ford
SL_32_50_43,Jetty core
SL_32_50_44,Jetty face
SL_32_50_45,Jetty toe
SL_32_50_46,Landing face
SL_32_50_47,Lifeboat vessel launch space
SL_32_50_53,Mooring
SL_32_50_68,Quay face
SL_32_50_69,Quay stem
SL_32_50_72,Roller boat lift
SL_32_50_76,Scour protection apron
SL_32_50_79,Slipway
SL_32_65_12,Cave
SL_32_65_71,Riverbed
SL_32_65_72,River reache
SL_32_65_74,Sand dune active zone
SL_32_65_75,Sand dune stabilized zone
SL_32_80_03,Amenity grass area
SL_32_80_08,Brownfield site
SL_32_80_23,Disused mineral extraction site
SL_32_80_46,Living roof area
SL_32_80_47,Living willow structure
SL_32_80_48,Managed water habitat
SL_32_80_49,Managed wildlife habitat
SL_32_80_50,Mowing strip
SL_32_80_89,Transport corridor verge
SL_32_80_95,Wetland habitat
SL_32_80_96,Wildflower garden
SL_32_80_97,Woodland habitat
SL_32_85_06,Barrier beach face
SL_32_85_10,Breakwater face
SL_32_85_15,Control gate sill
SL_32_85_30,Fishtail
SL_32_85_35,Groyne face
SL_32_85_42,Intake tower
SL_32_85_58,Orifice flow control structure
SL_32_85_60,Paddle and rymer
SL_32_85_65,Preliminary weir
SL_32_85_70,Roundhead
SL_32_85_81,Spillway crest
SL_32_85_82,Spillway funnel
SL_32_85_83,Spillway face
SL_32_85_84,Stilling well
SL_32_85_94,Vortex flow control structure
SL_32_85_95,Water-retaining wall core
SL_32_85_96,Water-retaining wall face
SL_32_85_97,Water-retaining wall toe
SL_32_85_98,Weir face
SL_32_95_15,Channel side
SL_32_95_18,Culvert soffit
SL_32_95_20,Culvert wall
SL_32_95_23,Fish, eel and lamprey pass crest
SL_32_95_29,Fish, eel and lamprey pass face
SL_32_95_30,Fish, eel and lamprey pass sill
SL_35_10_08,Birthing room
SL_35_10_10,Burn unit
SL_35_10_15,Consulting room
SL_35_10_22,Dental treatment room
SL_35_10_23,Diagnostic laboratory
SL_35_10_30,First aid post
SL_35_10_31,First aid room
SL_35_10_36,Hearing test room
SL_35_10_39,Hydrotherapy pool
SL_35_10_42,Intensive care unit
SL_35_10_43,Isolation unit
SL_35_10_51,Medical scanning and x-ray room
SL_35_10_53,Medical treatment room
SL_35_10_58,Occupational therapy room
SL_35_10_59,Operating theatre
SL_35_10_63,Phlebotomy room
SL_35_10_64,Pharmaceutical dispensary
SL_35_10_65,Phototherapy space
SL_35_10_66,Physiotherapy room
SL_35_10_70,Radiography room
SL_35_10_71,Radiotherapy room
SL_35_10_72,Radiology reading room
SL_35_10_73,Recovery room
SL_35_10_74,Rehabilitation room
SL_35_10_82,Sterilization room
SL_35_10_88,Therapy room
SL_35_10_94,Venepuncture room
SL_35_10_96,Ward
SL_35_10_97,Warm water pool
SL_35_50_17,Crèche and nurserie
SL_35_50_21,Day-care space
SL_35_50_60,Parent and baby room
SL_35_50_69,Quiet calming space
SL_35_50_75,Sauna room
SL_35_50_78,Sensory room
SL_35_50_90,Treatment room
SL_35_60_14,Commercial kitchen
SL_35_60_16,Cooking space
SL_35_60_30,Food preparation area
SL_35_60_45,Kitchenette
SL_35_60_56,Non-domestic kitchen
SL_35_60_78,Servery area
SL_35_70_12,Cemetery plot
SL_35_70_15,Funerary columbarium
SL_35_70_18,Crematorium oven room
SL_35_70_32,Funeral vault
SL_35_70_50,Mausoleum
SL_35_70_90,Tomb
SL_35_80_00,Ablution room
SL_35_80_01,Accessible changing room
SL_35_80_03,Accessible toilet
SL_35_80_06,Baby changing room
SL_35_80_08,Bathroom
SL_35_80_39,Hygiene room
SL_35_80_59,Open shower area
SL_35_80_68,Public toilet
SL_35_80_80,Shower
SL_35_80_85,Supervisable toilet
SL_35_80_89,Toilet
SL_35_85_00,Animal ark
SL_35_85_01,Animal cage
SL_35_85_03,Animal enclosure
SL_35_85_04,Animal exercise arena
SL_35_85_05,Aviary
SL_35_85_12,Cattle byre
SL_35_85_39,Fish tank
SL_35_85_45,Kennel
SL_35_85_47,Loose boxe
SL_35_85_62,Pen
SL_35_85_83,Stable
SL_35_85_84,Stable yard
SL_35_85_85,Stall
SL_35_85_86,Sty
SL_35_85_88,Tack room
SL_35_90_10,Animal burial plot
SL_35_90_15,Animal clinic
SL_35_90_22,Animal dispensary
SL_35_90_32,Animal funerary space
SL_35_90_34,Animal grooming facility
SL_35_90_37,Animal hydrotherapy pool
SL_35_90_59,Animal operating theatre
SL_35_90_72,Animal ward
SL_40_05_03,Amusement arcade
SL_40_05_13,Casino floor
SL_40_05_27,Esport space
SL_40_05_42,Indoor fairground space
SL_40_05_43,Indoor play space
SL_40_05_58,Observation deck
SL_40_05_59,Outdoor activity area
SL_40_05_60,Outdoor fairground space
SL_40_05_68,Public garden
SL_40_05_79,Sensory garden
SL_40_05_81,Soft play room
SL_40_20_06,Bar
SL_40_20_09,Beverage station
SL_40_20_22,Dining hall
SL_40_20_27,Enclosed dining area
SL_40_20_28,Food court
SL_40_20_42,Indoor dining room
SL_40_20_43,Informal dining space
SL_40_20_59,Outdoor dining area
SL_40_35_65,Protected historic zone
SL_40_55_04,Artificial grass play area
SL_40_55_34,Grass play and social area
SL_40_55_36,Hard play and social area
SL_40_55_59,Outdoor seating area
SL_40_55_61,Playground
SL_40_55_64,Play equipment area
SL_40_55_97,Woodland play and social area
SL_40_60_05,Auditorium
SL_40_60_06,Bandstand
SL_40_60_11,Catwalk
SL_40_60_13,Circus ring
SL_40_60_21,Dance floor
SL_40_60_31,Fixed stage
SL_40_60_40,Indoor theatre space
SL_40_60_52,Mobile stage
SL_40_60_58,Orchestra pit
SL_40_60_59,Outdoor theatre space
SL_40_60_78,Sound recording studio
SL_40_60_80,Sound shell
SL_40_60_81,Sound stage
SL_40_65_04,Audience lobby
SL_40_65_24,Dressing room
SL_40_65_35,Green room
SL_40_65_47,Lighting and audio control space
SL_40_65_66,Projection booth
SL_40_65_70,Recording control space
SL_40_65_72,Rehearsal room
SL_40_65_76,Scenery control booth
